subClass: two.Object, superClass: java.lang.Object, deepSearch: false -> true
subClass: two.Object, superClass: java.lang.Object, deepSearch: true -> true
subClass: two.Object, superClass: two.BaseInterface, deepSearch: false -> false
subClass: two.Object, superClass: two.BaseInterface, deepSearch: true -> false
subClass: two.ObjectWithInterface, superClass: two.BaseInterface, deepSearch: false -> true
subClass: two.ObjectWithInterface, superClass: two.BaseInterface, deepSearch: true -> true
subClass: two.ObjectWithInterface, superClass: java.lang.Object, deepSearch: false -> true
subClass: two.ObjectWithInterface, superClass: java.lang.Object, deepSearch: true -> true
subClass: two.ObjectWithClassAndInterface, superClass: java.lang.Object, deepSearch: false -> false
subClass: two.ObjectWithClassAndInterface, superClass: java.lang.Object, deepSearch: true -> true
subClass: two.ObjectWithClassAndInterface, superClass: two.NonBaseClass, deepSearch: false -> true
subClass: two.ObjectWithClassAndInterface, superClass: two.NonBaseClass, deepSearch: true -> true
subClass: two.ObjectWithClassAndInterface, superClass: two.NonBaseInterface, deepSearch: false -> true
subClass: two.ObjectWithClassAndInterface, superClass: two.NonBaseInterface, deepSearch: true -> true
subClass: two.ObjectWithClassAndJavaInterface, superClass: java.lang.Object, deepSearch: false -> false
subClass: two.ObjectWithClassAndJavaInterface, superClass: java.lang.Object, deepSearch: true -> true
subClass: two.ObjectWithClassAndJavaInterface, superClass: two.NonBaseClass, deepSearch: false -> true
subClass: two.ObjectWithClassAndJavaInterface, superClass: two.NonBaseClass, deepSearch: true -> true
subClass: two.ObjectWithClassAndJavaInterface, superClass: two.NonBaseInterface, deepSearch: false -> false
subClass: two.ObjectWithClassAndJavaInterface, superClass: two.NonBaseInterface, deepSearch: true -> false
subClass: two.ObjectWithClassAndJavaInterface, superClass: java.lang.Runnable, deepSearch: false -> true
subClass: two.ObjectWithClassAndJavaInterface, superClass: java.lang.Runnable, deepSearch: true -> true
subClass: two.ObjectsKt, superClass: java.lang.Runnable, deepSearch: false -> false
subClass: two.ObjectsKt, superClass: java.lang.Runnable, deepSearch: true -> false
subClass: two.ObjectsKt, superClass: java.lang.Object, deepSearch: false -> true
subClass: two.ObjectsKt, superClass: java.lang.Object, deepSearch: true -> true
